,Bike Commuters (to work),Bike Commute Trips (to work),Total Daily Cycling Trips,Total Annual Cycling Trips (in millions)
2008,23500,47000,240000,87.6
2009,24400,48800,240000,87.6
2010,25000,50000,250000,91.3
2011,26900,53800,270000,98.6
2012,31500,63000,320000,116.8
2013,37600,75200,380000,138.7
2014,41800,83600,420000,153.3
2015,45000,90000,450000,164.3
2016,45800,91600,460000,167.9
2017,48800,97600,490000,178.9
2018,50900,101800,510000,186.2
2019,52700,105400,530000,193.5
2021,55000,110000,550000,200.8
Source: https://www.nyc.gov/html/dot/html/bicyclists/cyclinginthecity.shtml ,,,,
